Genus,Species,Gender,State,County,Refuge,Division,Sample Site,Coordinates,Habitat,Date Sampled,Collector,Notes,X14,X15,X16,X17,X18,X19,X20
Agapostemon,Agapostemon sericeus,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,old field,Jun. 12,W. Watkins,NA,NA,NA,NA,NA,NA,NA,NA
Agapostemon,Agapostemon sericeus,Female,Missouri,Lafayette,Big Muddy,N/A,BB,N/A,old field,Jun. 12,W. Watkins,BB Lafayette Co.,NA,NA,NA,NA,NA,NA,NA
Agapostemon,Agapostemon sericeus,Female,Missouri,Lafayette,Big Muddy,N/A,BB,N/A,old field,Jun. 12,W. Watkins,BB Lafayette Co.,NA,NA,NA,NA,NA,NA,NA
Agapostemon,Agapostemon sericeus,Female,Missouri,Ray,Big Muddy,N/A,BB,N/A,Old Field,Jun. 20,N/A,BB Ray,NA,NA,NA,NA,NA,NA,NA
Agapostemon,Agapostemon sericeus,Male,Missouri,Lafayette,Big Muddy,N/A,BB,N/A,Forest,Aug. 20,N/A,NA,NA,NA,NA,NA,NA,NA,NA
Agapostemon,Agapostemon sericeus,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Jul. 17,N/A,JAB Ray,NA,NA,NA,NA,NA,NA,NA
Agapostemon,Agapostemon sericeus,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Jul. 17,N/A,JAB Ray,NA,NA,NA,NA,NA,NA,NA
Agapostemon,Agapostemon sericeus,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Jul. 17,N/A,JAB Ray,NA,NA,NA,NA,NA,NA,NA
Agapostemon,Agapostemon sericeus,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Forest,Sept. 26,N/A,NA,NA,NA,NA,NA,NA,NA,NA
Agapostemon,Agapostemon sericeus,Male,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Forest,Aug. 20,N/A,NA,NA,NA,NA,NA,NA,NA,NA
Agapostemon,Agapostemon sericeus,Male,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Forest,Aug. 20,N/A,NA,NA,NA,NA,NA,NA,NA,NA
