Census Year,Boundary Type,Boundary Name,Boundary Number,Size 2 Person,Size 3 Person,Size 4 Person,Size Over 4 Person,Size Total Families,Size Average Person,Size Average Children Home,Structure All Families,Structure All Couples,Structure Married Couples,Structure Married Couple No Children Home,Structure Married Couple Children Home,Structure Married Couple 1 Child,Structure Married Couple 2 Children,Structure Married Couple 3+ Children,Structure Common Law Couple,Structure Common Law Couple No Children Home,Structure Common Law Couple Children Home,Structure Common Law Couple 1 Child,Structure Common Law Couple 2 Children,Structure Common Law Couple 3+ Children,Structure One Parent Total,Structure One Parent Female,Structure One Parent Female 1 Child,Structure One Parent Female 2 Children,Structure One Parent Female 3+ Children,Structure One Parent Male,Structure One Parent Male 1 Child,Structure One Parent Male 2 Children,Structure One Parent Male 3+ Children,Census Families With Children 1 Child,Census Families With Children 2 Children,Census Families With Children 3+ Children,Census Families With Children,Income Under 10000,Income 10000-19999,Income 20000-29999,Income 30000-39999,Income 40000-49999,Income 50000-59999,Income 60000-69999,Income 70000-79999,Income 80000-89999,Income 90000-99999,Income 100000+,Income All,Income Average,Income Median,Income Standard Error,Income All Families,Income All Families Average,Income All Couples,Income All Couples Average,Income All Couples Median,Income All Couples Standard Error,Income Married Couples,Income Married Couples Average,Income Married Couples Median,Income Married Couples Standard Error,Income Common Law,Income Common Law Average,Income Common Law Median,Income Common Law Standard Error,Income One Parent Female,Income One Parent Female Average,Income One Parent Female Median,Income One Parent Female Standard Error,Income One Parent Male,Income One Parent Male Average,Income One Parent Male Median,Income One Parent Male Standard Error,Income All Families Median,Income All Families Standard Error
2001,City,City of Winnipeg,1,78770,37245,35180,16035,167230,3,1.1,167230,136150,119070,49330,69740,25535,30325,13875,17080,10355,6730,3350,2220,1160,31080,25815,15585,7080,3140,5260,3495,1280,490,47965,40905,18665,107535,6470,10925,16710,19185,20695,19865,17290,14275,10715,7980,23110,167230,63567,54724,315,167230,63566.61,136155,70193,60520,369,119075,72176,62201,412,17085,56375,49216,618,25815,32562,27620,307,5260,44207,37607,985,,
2001,City,Downtown Winnipeg,5,1620,375,185,55,2225,2.4,0.7,2225,1665,1175,795,375,215,125,40,495,400,90,75,10,15,555,480,355,80,40,80,65,0,10,710,215,105,1030,165,415,345,325,370,195,115,105,55,20,115,2225,40511,35906,1315,2230,40504.769999999997,1670,45164,40377,1545,1175,46037,41498,1886,495,43089,40268,2670,480,23533,15743,1930,80,45074,36485,7874,,
2001,City,Inner City,3,14830,5885,4255,2810,27775,2.9,1.2,27775,19560,14940,6975,7970,3075,2950,1940,4620,2975,1645,795,480,370,8225,6845,3995,1715,1135,1375,885,295,195,8750,5440,3640,17830,2340,4070,4690,4290,3620,2760,2040,1355,920,535,1160,27775,42477,36411,416,27775,42477.27,19555,49584,42931,527,14940,51709,45216,608,4620,42709,37769,1030,6845,24377,19299,462,1375,31513,25579,1170,,
2001,City,Non-Inner City,4,63940,31360,30930,13220,139450,3,1.1,139450,116600,104135,42355,61775,22465,27370,11940,12465,7380,5085,2550,1745,790,22855,18970,11590,5365,2010,3885,2610,985,295,39215,35465,15035,89715,4130,6860,12020,14895,17080,17105,15250,12915,9800,7445,21945,139455,67768,58586,364,139460,67766.73,116600,73650,63572,419,104130,75112,64857,460,12465,61437,53936,734,18970,35515,31797,373,3890,48699,41490,1234,,
2001,City,Winnipeg Census Metropolitan Area,2,84720,40480,38930,18055,182190,3,1,182190,149875,131725,53935,77785,28175,33825,15790,18155,10990,7165,3595,2335,1240,32315,26685,16055,7335,3295,5630,3740,1385,505,51565,44880,20830,117275,6795,11500,17785,20490,22205,21560,19175,15810,12045,9110,25700,182190,64422,55634,307,182185,64422.41,149875,70822,61140,358,131720,72719,62890,397,18155,57052,49998,607,26685,32786,27811,303,5625,43992,37624,937,,
2001,Community Area,Assiniboine South Community Area,2,4270,2120,2590,1120,10105,3.1,1.2,10105,8950,8290,3245,5050,1600,2395,1055,660,385,275,130,105,45,1155,890,505,305,85,260,145,85,30,2380,2890,1215,6485,200,275,485,630,870,990,1090,885,820,690,3160,10100,100080,75187,3604,10100,100081.87,8950,106609,80346,4033,8295,108513,81427,4368,660,82663,69635,4363,890,41666,37146,2306,260,75360,57025,8059,,
2001,Community Area,Downtown Community Area,11,7150,3255,2505,1420,14325,2.9,1.2,14325,10430,8155,3405,4750,1890,1845,1015,2275,1490,785,390,205,185,3895,3370,1920,865,580,530,330,110,90,4530,3025,1870,9425,1040,2095,2360,2175,2000,1605,1080,715,440,245,585,14325,42623,37569,527,14330,42619.43,10430,48805,43576,639,8155,49938,45133,658,2280,44745,40033,1723,3370,25034,19546,678,530,32709,25644,2020,,
2001,Community Area,Fort Garry Community Area,3,7670,3910,4105,1805,17490,3,1.2,17490,15045,13705,5245,8465,2985,3785,1690,1340,885,450,220,185,50,2450,2010,1245,595,170,435,295,110,30,4745,4675,1940,11360,515,685,1250,1475,1840,1720,1695,1645,1435,1195,4025,17495,75964,67392,840,17485,75970.25,15040,81438,72872,922,13710,82805,74422,969,1335,67422,54524,2867,2010,39603,36087,1261,435,54966,43903,4414,,
2001,Community Area,Inkster Community Area,9,2805,1975,1975,1190,7945,3.2,1.5,7945,6285,5535,1545,3990,1325,1635,1030,750,310,440,155,190,95,1660,1370,790,400,185,290,160,95,30,2430,2320,1340,6090,510,590,900,1040,1135,1090,875,735,425,255,400,7945,50637,48402,661,7945,50642.05,6285,56405,54190,725,5535,57773,56051,770,750,46300,41305,1992,1370,27804,24768,1112,290,33635,30686,2336,,
2001,Community Area,Point Douglas Community Area,10,4405,2035,1570,1270,9280,3,1.4,9280,6235,4990,1990,3005,1105,1085,815,1245,620,625,240,180,200,3045,2420,1390,560,470,630,405,140,80,3140,1965,1565,6670,870,1385,1670,1400,1170,905,725,465,360,135,200,9280,39580,35208,544,9290,39572.07,6240,46124,42423,665,4990,47457,44457,746,1245,40783,37267,1425,2420,25529,19729,828,630,28620,23822,1521,,
